grid_id,grid_longitude,grid_latitude,park_fraction,original_grid_area_km2,park_area_km2,year,month,LST_C,rainfall_mm,VPD_kPa,soil_moisture_mm,wind_speed_ms,EVI,land_cover,slope_deg,gHM,fire_occurrence,fire_fraction,fire_valid_fraction,full_mapping,predictor_lag_months,land_cover_source_year,human_modification_epoch
KLNP_025_001,4.925000000000001,9.725000000000001,1.0,30.466656468638313,30.466656468638313,2002,1,31.82910714285717,3.0104023842584517,2.5073809523809523,72.51031746031745,2.123730158730159,0.19389722222222225,9,0.36767846825228756,0.04712353862585529,1,0.42388551165146876,1.0,123.85882352941182,1,2001,2000
KLNP_026_001,4.9750000000000005,9.725000000000001,0.551417439529605,30.466656468637773,16.799845700964315,2002,1,31.709933774834468,3.423409714604056,2.5269536423841057,68.6225165562914,2.140794701986755,0.18471688741721853,9,0.31900063111522275,0.042315563273350926,1,0.5733111785939381,1.0,68.44313725490197,1,2001,2000
KLNP_004_002,3.8750000000000004,9.775,0.9996581570988186,30.462088297225243,30.451675048585674,2002,1,37.732770270270294,0.0,2.664234234234234,58.78378378378379,2.2033783783783782,0.16022927927927927,12,0.2309309130616342,0.10014485749038488,0,0.0,1.0,123.78039215686279,1,2001,2000
KLNP_005_002,3.9250000000000003,9.775,1.0,30.462088297224696,30.462088297224696,2002,1,37.61996015936259,0.0,2.657450199203187,63.1601593625498,2.1914741035856573,0.15263725099601594,12,0.21520436696460135,0.08780225970415005,0,0.0,1.0,123.94509803921561,1,2001,2000
KLNP_006_002,3.975,9.775,1.0,30.462088297225353,30.462088297225353,2002,1,37.93418326693231,0.0,2.6526693227091633,67.53227091633465,2.2052589641434266,0.14195677290836653,12,0.1661921303741601,0.06934775211718452,0,0.0,1.0,123.9450980392157,1,2001,2000
KLNP_007_002,4.025,9.775,1.0,30.462088297225204,30.462088297225204,2002,1,37.77037848605581,0.28729906880048167,2.642390438247012,74.42509960159363,2.2162549800796816,0.14961593625498007,12,0.21214988237201307,0.06184299465313376,0,0.0,1.0,123.94117647058818,1,2001,2000
KLNP_008_002,4.075000000000001,9.775,0.9728607086694455,30.462088297224724,29.635368808389266,2002,1,36.884675925925954,1.8079417679044933,2.625648148148148,81.65972222222223,2.195416666666667,0.1553289351851852,10,0.19112779288894582,0.06343795869637418,0,0.0,1.0,120.50196078431371,1,2001,2000
KLNP_020_002,4.675000000000001,9.775,1.0,30.46208829722516,30.46208829722516,2002,1,35.14661354581677,1.7311694327578602,2.666693227091634,107.15338645418329,2.123784860557769,0.15519203187250996,10,0.6191849519786321,0.24863809126394767,1,0.006517956019617149,1.0,123.94117647058823,1,2001,2000
KLNP_021_002,4.7250000000000005,9.775,1.0,30.46208829722467,30.46208829722467,2002,1,35.08204365079368,0.8136501506207481,2.6254761904761907,103.87222222222223,2.1722619047619047,0.20103253968253967,12,0.5095192777649407,0.20823833304974768,1,0.11228880592292607,1.0,123.94509803921564,1,2001,2000
KLNP_022_002,4.775,9.775,1.0,30.462088297224515,30.462088297224515,2002,1,33.23065737051796,0.0,2.5642629482071713,92.74661354581674,2.2084860557768926,0.20782529880478087,12,0.21247008211964133,0.13871299781172397,1,0.2725575212836662,1.0,123.90980392156864,1,2001,2000
